book,genre,store,date,sale
"The Heralds",Mystery,Roskilde,2005-05-23,28
"Moscow Rules","Spy fiction",Aalborg,2005-12-14,56
"The Search for the Snow Leopard",Mystery,Aabenraa,2005-05-29,25
Scorpius,"Spy fiction",Skive,2005-06-17,96
"The Best Awful There Is","Autobiographical novel",Vejle,2005-10-26,25
"The Ill-Made Knight","Speculative fiction","Sorø",2005-05-27,33
"Rum Punch",Mystery,Kalundborg,2005-09-02,100
"Marius the Epicurean",Fiction,Roskilde,2005-03-29,71
"The Number Devil","Children's literature",Haderslev,2005-02-24,64
"Over the Wine Dark Sea","Historical novel",Aarhus,2005-11-24,43
"Majya Jalmachi Chittarkatha",Autobiography,Ribe,2005-07-10,58
"The Birthday Party",Novel,"Hjørring",2005-08-24,18
"Mr. Monk in Trouble",Mystery,Viborg,2005-06-28,44
Sphere,Techno-thriller,Roskilde,2005-02-04,43
"Martian Time-Slip","Science Fiction",Skive,2005-09-23,42
"Phineas Redux",Fiction,Odense,2005-12-25,21
"A Change of Climate",Novel,Aarhus,2005-09-12,47
Feed,"Science Fiction",Copenhagen,2005-07-17,25
"The Golden Age","Hard science fiction",Skive,2005-05-11,17
"The Kingdom Keepers: Disney After Dark",Thriller,Svendborg,2005-11-06,65
"The Caves of Drach","Science Fiction","Sorø",2005-09-06,20
"Berlin Game",Fiction,Vordingborg,2005-03-21,75
"The Marriage Plot",Novel,Silkeborg,2005-01-30,53
"The Sands of Time","Science Fiction",Odense,2005-09-11,17
"Three to See the King",Novel,Slagelse,2005-04-16,72
"Alice Through the Needle's Eye","Speculative fiction","Køge",2005-04-04,59
"Memory Prime","Science Fiction",Holstebro,2005-08-30,27
Colossus,"Science Fiction",Randers,2005-07-26,19
"Play Dead","Crime Fiction",Randers,2005-09-01,35
Software,"Science Fiction","Hillerød",2005-04-02,53
"Anil's Ghost",Fiction,"Helsingør",2005-02-24,10
"Go Tell It on the Mountain","Autobiographical novel",Frederiksberg,2005-12-10,51
Chandrakanta,Fantasy,"Nykøbing Falster",2005-01-07,39
"The Little Sister",Mystery,Kalundborg,2005-09-08,36
"The Satan Bug",Thriller,Skive,2005-01-28,37
"Proven Guilty",Mystery,Fredericia,2005-07-06,29
"The Stones Are Hatching",Fantasy,"Hillerød",2005-11-17,10
"East Wind: West Wind",Novel,Kalundborg,2005-01-03,65
"When Darkness Falls","Speculative fiction","Hjørring",2005-01-16,56
"Tros of Samothrace",Fantasy,"Nykøbing Falster",2005-11-26,31
Checkers,"Young adult literature","Tønder",2005-06-02,35
"Dead Air",Fiction,Odense,2005-01-24,89
"A Void",Novel,"Holbæk",2005-08-22,52
"Mam'zelle Guillotine","Adventure novel",Kolding,2005-10-13,16
"The Green Man",Fiction,"Hillerød",2005-03-12,79
Ourania,Novel,Vordingborg,2005-06-29,39
"Stones into Schools",Non-fiction,Frederikshavn,2005-10-02,69
"The Clan of the Cave Bear","Speculative fiction",Kolding,2005-10-11,69
"Roller Skates","Children's literature","Tønder",2005-12-22,82
Transcendent,"Science Fiction",Gentofte,2005-03-08,19
"Brian's Winter","Young adult literature",Holstebro,2005-12-08,21
"Jenny lives with Eric and Martin","Picture book",Silkeborg,2005-07-09,75
"The Shaggy Man of Oz",Fantasy,"Sorø",2005-11-26,36
"The Count of Monte Cristo","Romance novel","Køge",2005-04-06,60
Durandal,Fantasy,Horsens,2005-06-23,74
"State of War",Fiction,Frederiksberg,2005-07-01,7
"Women of the apocalypse",Fantasy,Svendborg,2005-08-23,6
"The Ferguson Rifle",Western,Maribo,2005-08-11,80
"Vital Signs",Thriller,Vejle,2005-09-08,87
"The Final Passage",Fiction,Skagen,2005-11-22,9
"Enemy Unseen","Science Fiction",Slagelse,2005-07-29,68
"Pennington's Seventeenth Summer","Children's literature",Nyborg,2005-09-08,29
"The Ships of Earth","Science Fiction",Aalborg,2005-03-20,100
"N or M?","Crime Fiction",Maribo,2005-06-14,62
Epiphany,"Crime Fiction",Aalborg,2005-11-29,9
"People of the Book","Historical fiction","Sorø",2005-10-07,13
"Tarzan and the Leopard Men","Speculative fiction",Kolding,2005-10-22,40
"Foundation and Earth","Science Fiction",Viborg,2005-02-17,76
"The Drop","Crime Fiction",Horsens,2005-04-09,49
"Banned for Life",Novel,Roskilde,2005-10-23,12
"The Fox","Children's literature",Esbjerg,2005-01-27,83
"Wonderful Life: The Burgess Shale and the Nature of History",Mathematics,Viborg,2005-04-22,7
"My Lord John",Mystery,Vordingborg,2005-02-12,15
"On the Jellicoe Road","Young adult literature",Svendborg,2005-05-20,10
"Journeys to the End of the World",Novel,Nyborg,2005-01-19,14
"Dreams of My Russian Summers",Fiction,Aarhus,2005-10-27,40
"The Summons",Mystery,Herning,2005-10-08,38
"Rogue Squadron","Science Fiction",Frederikshavn,2005-10-22,24
"Until the Celebration",Fantasy,Viborg,2005-05-06,5
Obsessed,Thriller,"Køge",2005-04-02,22
"Dinosaur Planet","Science Fiction","Nørresundby",2005-02-09,18
Lovelock,"Science Fiction",Skagen,2005-03-05,57
"Balthasar's Odyssey","Historical novel",Thisted,2005-03-26,8
"The Haunted Fort",Mystery,Gentofte,2005-06-19,77
"A Civil Action","Speculative fiction",Randers,2005-12-26,7
"The Fourth Hand",Fiction,Ribe,2005-10-03,60
"The Road to Oz","Speculative fiction",Nyborg,2005-01-02,53
Trainspotting,Travel,Vordingborg,2005-04-23,79
"From Potter's Field","Crime Fiction",Kolding,2005-03-28,62
"The Book of Ptath","Science Fiction",Herning,2005-05-11,73
"The Willow Pattern",Mystery,Silkeborg,2005-02-24,23
"Narcissus in Chains",Horror,"Hillerød",2005-11-28,97
"Kingdom of Summer","Science Fiction",Maribo,2005-03-16,71
Onitsha,"Coming of age",Silkeborg,2005-03-18,52
Ghostwritten,Novel,Odense,2005-06-12,77
"Hart's Hope","Speculative fiction",Esbjerg,2005-03-19,36
"Sharpe's Prey","Historical novel",Gentofte,2005-12-04,51
"The Sword Of The Dawn","Speculative fiction","Helsingør",2005-05-03,96
"The Transparent Society",Anthropology,Herning,2005-01-29,20
"The Fear",Thriller,Vejle,2005-11-05,33
"Rakkety Tam","Children's literature","Nørresundby",2005-12-12,93
"A Kingdom of Dreams",History,Thisted,2005-08-20,6
"The Iciest Sin","Crime Fiction",Horsens,2005-04-24,82
"I Am the Cheese",Mystery,Nakskov,2005-01-27,39
Winter,Fiction,Copenhagen,2005-10-20,37
"The Fires of Heaven","Speculative fiction","Sorø",2005-07-12,83
Reamde,Techno-thriller,Svendborg,2005-08-28,83
"Chucaro: Wild Pony of the Pampa","Children's literature",Copenhagen,2005-10-29,77
"Two women","War novel",Ribe,2005-03-19,52
"Child of the Hunt","Science Fiction",Skagen,2005-08-30,16
"Half Past Human","Science Fiction",Gentofte,2005-06-12,52
"King of the Rattling Spirits",Novel,Nakskov,2005-01-01,78
"Elegy for a Lost Star","Speculative fiction",Holstebro,2005-01-18,40
"A Midsummer Night's Dream",Fantasy,Viborg,2005-03-10,45
"Cowboys for Christ",Horror,Silkeborg,2005-02-06,68
"The Bronze God of Rhodes","Science Fiction",Horsens,2005-03-01,80
"The Summer Tree","Science Fiction",Holstebro,2005-05-24,91
SS-GB,"Alternate history",Kolding,2005-04-14,34
"Gooney Bird Greene","Children's literature",Skive,2005-11-15,93
Masterpiece,"Children's literature",Nakskov,2005-07-08,92
"We Didn't Mean To Go To Sea","Children's literature",Aarhus,2005-04-13,35
"The Sweet Dove Died",Fiction,"Holbæk",2005-09-06,27
Cradle,"Science Fiction",Aabenraa,2005-05-17,72
"A Dead Man in Deptford","Speculative fiction",Nyborg,2005-06-28,56
"Freddy Goes Camping","Comic novel",Slagelse,2005-06-22,98
"The Wreck of the Zanzibar","Historical novel",Kalundborg,2005-12-18,70
"The House on the Strand","Speculative fiction",Skive,2005-01-26,8
"Touch Not the Cat","Speculative fiction",Randers,2005-02-01,8
"Shadow on the Sand",Gamebook,Frederikshavn,2005-03-19,18
Icon,Thriller,"Hillerød",2005-09-09,50
"House of Meetings",Fiction,Svendborg,2005-06-08,15
"Dune Messiah","Science Fiction",Slagelse,2005-12-15,53
Shattered,"Speculative fiction",Horsens,2005-07-22,41
"Wizard at Large","Science Fiction",Frederiksberg,2005-06-23,56
"The Children's Story","Short story",Kolding,2005-03-29,78
"The Witch of the Low Tide",Mystery,Kalundborg,2005-02-18,33
"These Old Shades",Mystery,Maribo,2005-06-13,25
"The Chasm of Doom",Gamebook,Vordingborg,2005-08-08,66
"The Ice Limit",Thriller,Fredericia,2005-06-21,16
Shadowslayers,Fantasy,Frederikshavn,2005-11-07,75
"Captain Underpants and the Preposterous Plight of the Purple Potty People","Children's literature",Vordingborg,2005-11-29,46
1876,History,Silkeborg,2005-08-14,73
"All That Glitters","Young adult literature",Thisted,2005-04-10,42
"This Above All","Chivalric romance","Tønder",2005-07-26,74
"All the Pretty Horses","Children's literature",Ribe,2005-12-13,76
Scorpia,Thriller,Holstebro,2005-06-25,58
"The Thirteen and a Half Lives of Captain Bluebear",Fantasy,Aarhus,2005-12-16,15
"Notes of a Native Son",Essay,Copenhagen,2005-02-15,63
"The Cardinal of the Kremlin",Thriller,Gentofte,2005-07-01,7
"The War of The Roses",Mystery,Copenhagen,2005-05-31,31
Stormchaser,"Speculative fiction",Nakskov,2005-02-04,57
"Dead Cert",Mystery,Haderslev,2005-12-20,74
"The Guardian of Isis","Science Fiction","Sorø",2005-05-15,38
"The Other Side of Midnight",Thriller,Odense,2005-04-15,17
"Obsidian Butterfly","Science Fiction",Maribo,2005-07-23,33
"Strands of Starlight","Speculative fiction","Sorø",2005-05-08,55
"Heirs of Empire","Space opera",Gentofte,2005-04-13,12
"The Scarecrow of Oz","Speculative fiction",Horsens,2005-11-06,55
"The Bad Seed",Horror,Aalborg,2005-05-21,43
"Jumper: Griffin's Story","Science Fiction",Aarhus,2005-11-21,16
"North and South",Mystery,Roskilde,2005-05-25,89
Po-on,Fiction,Copenhagen,2005-12-02,84
"After Dachau","Science Fiction",Skive,2005-10-01,64
"The Accidental Time Machine","Science Fiction","Tønder",2005-01-12,80
Sahara,Techno-thriller,Kalundborg,2005-05-31,100
Resistance,"Science Fiction",Odense,2005-10-23,61
"The Elves of Cintra","Speculative fiction",Kalundborg,2005-09-24,72
"Double Solitaire","Science Fiction",Ribe,2005-08-01,100
"Wizard of the Pigeons","Speculative fiction",Skive,2005-05-02,37
Luckypenny,Novel,Gentofte,2005-06-11,72
"The World of Nagaraj",Novel,Vordingborg,2005-03-09,12
"The Dark Room",Fiction,"Hjørring",2005-06-08,49
"Terra Amata",Fiction,Horsens,2005-11-13,46
"Not Wanted on the Voyage","Speculative fiction","Holbæk",2005-06-27,48
"La Nuit des temps","Science Fiction","Sønderborg",2005-09-13,29
"Knight Crusader","Children's literature","Tønder",2005-11-18,61
Vapor,Novel,Frederikshavn,2005-10-22,81
"The Riddle","Children's literature",Nyborg,2005-05-15,17
"The Magellanic Cloud","Science Fiction",Haderslev,2005-04-07,88
"Babylon 5: Dark Genesis - The Birth of the Psi Corps","Science Fiction","Sorø",2005-07-13,11
"Specter of the Past","Science Fiction",Kolding,2005-07-03,50
"Danny Dunn and the Voice from Space","Science Fiction",Kolding,2005-06-30,15
"Scorpions by Walter Dean Myers","Young adult literature",Ribe,2005-03-18,72
Borderlands,"Western fiction",Aalborg,2005-03-05,72
Auriol,Horror,Copenhagen,2005-02-18,31
"The Vision",Mystery,Roskilde,2005-09-25,91
"No Deals, Mr. Bond","Spy fiction",Esbjerg,2005-05-05,23
Sinner,"Science Fiction",Slagelse,2005-08-27,21
"Never End","Crime Fiction",Esbjerg,2005-01-15,41
"The Last Days","Science Fiction",Slagelse,2005-12-03,10
"The City and the Pillar",Novel,Holstebro,2005-09-18,48
"Taran Wanderer","Children's literature",Svendborg,2005-01-31,87
"People of the Wolf","Science Fiction",Herning,2005-11-24,75
"The Wednesday Wars","Historical fiction","Nykøbing Falster",2005-01-13,62
"Without Warning","Alternate history",Gentofte,2005-05-11,63
Mysteries,Fiction,Odense,2005-09-20,34
"Faery in Shadow","Speculative fiction",Kolding,2005-02-23,24
"Anxious Nation",Non-fiction,Ribe,2005-03-05,99
"The Black Book",Fiction,Vejle,2005-05-26,40
"The Dragon of the Ishtar Gate","Historical novel",Frederikshavn,2005-06-23,33
"Dorian, an Imitation",Novel,Viborg,2005-10-21,83
"The Terrorizers","Spy fiction","Sønderborg",2005-05-02,55
"Like Water for Chocolate: A Novel in Monthly Installments with Recipes, Romances and Home Remedies",Fiction,Esbjerg,2005-09-21,56
"Bumageddon: The Final Pongflict","Comic novel",Thisted,2005-10-21,43
Earthworks,"Science Fiction",Aarhus,2005-01-11,81
"Midnight in Death","Crime Fiction",Aabenraa,2005-08-14,86
"Troy: Shield of Thunder",Fantasy,Vejle,2005-10-09,46
"Darwin's Children","Speculative fiction","Sorø",2005-08-15,38
"Fall of a Kingdom",Fantasy,Odense,2005-01-01,72
"Halo: The Fall of Reach","Science Fiction",Vejle,2005-12-14,45
"The Avalon Collection",Fantasy,Skive,2005-03-11,47
"Dear Mr. Henshaw","Children's literature","Nørresundby",2005-10-26,8
"Debt of Bones","Speculative fiction",Haderslev,2005-04-08,7
"Banaag at Sikat",Fiction,Nakskov,2005-10-31,6
"The Terminators","Spy fiction",Nakskov,2005-04-25,66
"Until the Celebration",Fantasy,Maribo,2005-03-19,43
"Light House: A Trifle",Satire,Herning,2005-05-07,94
"The Scary Sleepover","Children's literature",Odense,2005-04-04,92
"Seeing a Large Cat",Mystery,Skagen,2005-09-10,77
"The Iciest Sin","Crime Fiction",Silkeborg,2005-09-28,66
"The Autobiography of Benjamin Franklin",Autobiography,Aabenraa,2005-02-26,31
Thomas,"Science Fiction",Esbjerg,2005-06-05,22
"Fields of Sleep",Fantasy,Esbjerg,2005-10-08,51
Westmark,"Children's literature",Frederikshavn,2005-06-15,43
"Flight of Eagles",Thriller,Ribe,2005-06-01,92
"The Gorgon's Gaze","Speculative fiction",Horsens,2005-05-01,70
"Fall from Grace","Speculative fiction","Holbæk",2005-11-25,21
"The Thirty-nine Steps",Thriller,"Sønderborg",2005-11-02,62
"Prisoner of Time","Speculative fiction",Gentofte,2005-02-03,9
"To the Stars","Science Fiction",Aarhus,2005-10-17,74
Gloriana,"Speculative fiction",Ribe,2005-01-01,33
"The Nightmare of Black Island","Science Fiction","Nykøbing Falster",2005-02-08,91
"She Came to Stay",Fiction,Slagelse,2005-04-13,83
"The Santaroga Barrier","Science Fiction",Skive,2005-06-08,74
"Behind Enemy Lines","Science Fiction",Frederiksberg,2005-06-28,45
"The Convenient Marriage",Mystery,Frederiksberg,2005-01-07,83
"The Return","Science Fiction",Randers,2005-04-04,18
"Band of Gypsys","Science Fiction",Viborg,2005-02-09,93
69,Novel,"Nykøbing Falster",2005-12-27,38
"The Well of Lost Plots","Alternate history",Haderslev,2005-09-09,8
"The Bowl of Baal","Science Fiction",Copenhagen,2005-01-18,29
"Dirty Weekend","Literary fiction",Vejle,2005-03-15,26
"After the First Death","Children's literature",Haderslev,2005-07-04,51
"Hey, Al","Picture book",Nyborg,2005-08-19,74
"The Three Palladins","Science Fiction",Fredericia,2005-11-14,32
"The Beach",Fiction,Ribe,2005-01-05,42
"Let It Snow","Young adult literature","Nørresundby",2005-05-14,90
"The Sisterhood of the Traveling Pants","Children's literature",Slagelse,2005-07-12,79
"All Men are Mortal","Speculative fiction",Odense,2005-06-18,12
Azincourt,Fiction,"Hillerød",2005-09-02,67
"Memnoch the Devil","Gothic fiction",Viborg,2005-05-22,79
"Heist Society","Young adult literature",Horsens,2005-10-26,26
"Ring for Jeeves",Fiction,"Nykøbing Falster",2005-06-08,88
"Arthur Mervyn","Gothic fiction","Nykøbing Falster",2005-12-03,84
"Death in the Clouds","Crime Fiction",Nyborg,2005-02-05,68
Zorachus,"Science Fiction","Helsingør",2005-09-10,65
"Pax Britannia: El Sombra","Science Fiction",Frederiksberg,2005-01-13,81
"Far from the Madding Crowd",Novel,Holstebro,2005-09-12,28
"Barchester Towers","Historical fiction",Copenhagen,2005-11-10,73
"Rabbit Hill","Children's literature",Vordingborg,2005-05-20,91
"Smith's Gazelle","Adventure novel",Herning,2005-11-01,91
"The Rules of Attraction","Black comedy",Nakskov,2005-05-02,43
"Prisoners of Power","Science Fiction",Herning,2005-05-20,31
"Dragon Ultimate","Speculative fiction",Copenhagen,2005-10-16,57
Fletch,"Crime Fiction",Haderslev,2005-02-05,47
"Sector 7","Picture book",Ribe,2005-02-27,5
"Chasing the Bear","Detective fiction",Skagen,2005-07-25,23
"Basket Case","Crime Fiction",Esbjerg,2005-01-22,54
"The Wench is Dead","Crime Fiction",Fredericia,2005-10-17,47
"Digital Fortress",Mystery,Kalundborg,2005-02-07,47
Matadana,Fiction,"Hjørring",2005-05-01,54
"The prophecy of the stones",Fantastique,Slagelse,2005-06-25,46
"Moth Smoke",Fiction,Slagelse,2005-11-08,33
"Azure Bonds","Speculative fiction","Hillerød",2005-01-01,62
"Little Dorrit",Fiction,Kalundborg,2005-07-01,21
"Heaven Knows, Mr. Allison","War novel",Frederikshavn,2005-04-20,55
"Hercule Poirot's Christmas","Crime Fiction",Fredericia,2005-12-24,7
"Folk og røvere i Kardemomme by","Children's literature","Holbæk",2005-08-09,44
"The Legacy of Heorot","Science Fiction",Frederiksberg,2005-08-02,24
"Vampirates: Blood Captain","Children's literature",Thisted,2005-09-21,90
"Evil in Paradise","Children's literature","Køge",2005-01-15,12
"Charlie Brown's Super Book of Questions and Answers",Encyclopedia,Maribo,2005-02-24,17
"Manga: The Complete Guide",Encyclopedia,Holstebro,2005-04-10,43
"Briar Rose",Fantasy,"Helsingør",2005-07-19,59
"The Rifle","Historical fiction",Kalundborg,2005-03-14,79
"The Mount","Science fantasy",Svendborg,2005-04-09,22
"The Soldier's Art",Satire,Ribe,2005-03-27,98
"The Eternal Conflict",Fantasy,Silkeborg,2005-11-07,15
"Kipps: The Story of a Simple Soul",Fiction,"Holbæk",2005-12-13,16
Greybeard,"Science Fiction",Ribe,2005-06-10,89
"Murder in the Middle Pasture",Mystery,"Nørresundby",2005-12-30,57
"The Fortunes of Nigel","Historical novel","Nørresundby",2005-07-09,16
"Drowning World","Science Fiction","Nykøbing Falster",2005-11-02,99
"The Dragon Reborn","Speculative fiction",Slagelse,2005-02-10,40
"The Zoya Factor","Chick lit","Hjørring",2005-10-15,83
"Goodnight Moon","Children's literature","Holbæk",2005-08-11,81
"Panic Spring",Novel,"Nykøbing Falster",2005-07-12,62
"Servant of the Bones","Children's literature",Viborg,2005-04-22,35
"Conan the Warrior",Fantasy,Kalundborg,2005-05-16,64
Rocheworld,"Science Fiction",Haderslev,2005-12-07,87
"A House is Built",Novel,Svendborg,2005-07-02,28
"Anno Domini 2000 - A Woman's Destiny","Science Fiction",Randers,2005-07-03,20
"Helen with a High Hand",Comedy,Thisted,2005-06-25,22
"The Strategy Paradox",Business,Aarhus,2005-07-20,94
"Une Page d'amour",Novel,Aabenraa,2005-12-30,63
"The Game-Players of Titan","Science Fiction",Copenhagen,2005-06-22,34
"Tim the Tiny Horse At Large",Fantasy,Frederiksberg,2005-11-15,35
"The Girl at the Lion D'or","Historical novel",Esbjerg,2005-01-23,50
"An Octopus Followed Me Home","Picture book",Haderslev,2005-07-19,69
GoodKnyght!,"Children's literature","Nørresundby",2005-06-18,40
"The Awkward Age",Fiction,Skagen,2005-05-05,55
"The Monster Bed","Children's literature",Ribe,2005-02-13,95
"Myrren's Gift","Speculative fiction",Aabenraa,2005-12-01,10
"Wolves of the Calla","Science Fiction","Nørresundby",2005-09-28,81
"Notes of a Native Son",Essay,Maribo,2005-01-06,72
"Fear Itself","Science Fiction","Helsingør",2005-06-28,76
"The Crystal Prison","Children's literature",Aalborg,2005-04-13,14
"The Roman Hat Mystery",Mystery,Kolding,2005-02-24,75
"The Road","Literary fiction","Hillerød",2005-03-07,10
"The Best and the Brightest","Speculative fiction",Gentofte,2005-04-27,57
"D Is for Deadbeat",Mystery,Randers,2005-02-16,79
"Leo Africanus","Historical novel","Helsingør",2005-05-14,17
Trilby,Horror,Holstebro,2005-06-09,77
"The Undying Land","Lost World",Nakskov,2005-09-12,24
"Worldwar: In the Balance","Alternate history",Frederiksberg,2005-11-29,85
"Click Click Snap","Creative nonfiction","Helsingør",2005-05-29,49
"Ronia the Robber's Daughter","Children's literature",Nyborg,2005-07-02,94
"The Sound of One Hand Clapping",Novel,Holstebro,2005-05-12,100
"You Have To Stop This",Mystery,Frederikshavn,2005-03-01,74
"The Street Lawyer",Thriller,Frederikshavn,2005-10-16,56
"The Face in the Abyss",Fantasy,Kalundborg,2005-04-09,13
"Les clefs de babel","Children's literature",Nakskov,2005-02-24,72
"Smith's Gazelle","Adventure novel",Roskilde,2005-01-19,47
"The End of Oil",Non-fiction,"Køge",2005-11-12,38
"The Great Wheel","Children's literature",Copenhagen,2005-07-06,100
"Warcraft: Day of the Dragon","Speculative fiction",Esbjerg,2005-08-20,27
"The Divine Folly","Historical novel",Kolding,2005-03-25,52
"A Widow for One Year","Speculative fiction",Herning,2005-07-01,97
"The Fear",Thriller,"Sorø",2005-11-15,72
"A Tenured Professor",Satire,"Hjørring",2005-07-29,84
"The Last Hawk","Science Fiction",Kalundborg,2005-08-31,56
"The Mother/Child Papers",Poetry,Maribo,2005-08-03,34
Blooded,"Science Fiction",Vejle,2005-08-02,15
"Surf na crvenom talasu",Novel,Gentofte,2005-08-11,77
"Burmese Days",Fiction,"Hjørring",2005-10-15,53
"Une Page d'amour",Novel,Copenhagen,2005-09-23,78
"The Ultimate Solution","Alternate history",Skagen,2005-07-06,5
"Wren to the Rescue","Children's literature",Roskilde,2005-11-06,30
"Wolf of the Plains","Historical novel","Sorø",2005-01-11,77
"The Man Who Could Not Shudder",Mystery,Kalundborg,2005-01-26,44
"Delivering Happiness",Business,Fredericia,2005-11-14,87
Fire,Fantasy,Odense,2005-03-27,34
"Dark Force Rising","Science Fiction",Ribe,2005-11-30,13
"Going After Cacciato","War novel",Silkeborg,2005-07-30,54
"The Black Bouquet",Fantasy,"Nørresundby",2005-03-13,38
"Mission of Gravity","Hard science fiction",Nakskov,2005-08-20,62
"Valley of the Dolls","Romance novel",Kalundborg,2005-08-20,89
"Master Georgie","Historical novel",Aarhus,2005-12-27,43
"High Fidelity",Fiction,Copenhagen,2005-04-05,83
"Wish You Well","Crime Fiction","Holbæk",2005-01-30,63
"File For Record",Mystery,Frederikshavn,2005-04-06,64
"Blood Canticle","Speculative fiction",Vordingborg,2005-03-06,99
"Os Velhos Marinheiros ou o Capitão de Longo Curso",Novel,Aabenraa,2005-06-19,92
"The Comedians","Speculative fiction",Ribe,2005-03-14,16
"Sir Degrevant","Chivalric romance",Aabenraa,2005-01-01,13
"Advise and Consent: A Novel of Washington Politics",Fiction,Nyborg,2005-04-28,34
"The Hunter's Moon",Fantasy,"Helsingør",2005-06-22,46
Darkhouse,Thriller,Copenhagen,2005-11-03,31
"The Dice Spelled Murder","Crime Fiction","Tønder",2005-04-16,71
"Eastern Standard Tribe","Science Fiction",Svendborg,2005-11-14,66
Lullaby,"Short story",Vordingborg,2005-06-01,59
"The Wood Beyond the World","Speculative fiction","Nykøbing Falster",2005-12-03,45
"Do Good Design",Non-fiction,Nakskov,2005-03-07,92
"The Naughtiest Girl is a Monitor","Children's literature",Randers,2005-05-08,76
"The Return of the King","Science Fiction","Hillerød",2005-10-19,16
"Surrender the Pink","Romance novel","Køge",2005-05-17,11
"The Last Girl","Historical fiction",Roskilde,2005-02-12,98
"Sacred Games",Mystery,Svendborg,2005-07-13,23
Circus,Thriller,Aabenraa,2005-04-21,41
"Ciske de Rat","Children's literature",Skive,2005-06-30,57
"Hard Times","Industrial novel","Helsingør",2005-02-01,55
Genocide,"Speculative fiction",Aarhus,2005-09-21,64
Falling,Fiction,"Sønderborg",2005-09-07,15
"Henry and the Paper Route",Novel,Aabenraa,2005-04-06,30
"Parallel Worlds","Popular science","Nykøbing Falster",2005-04-11,86
"SkyClan's Destiny","Children's literature",Svendborg,2005-07-21,5
"Geography Club",Novel,Frederiksberg,2005-09-03,46
"White Death",Thriller,Haderslev,2005-06-12,51
"Eve's Seed: Biology, the Sexes, and the Course of History",Non-fiction,Roskilde,2005-06-20,65
"The Family Arsenal",Thriller,"Sønderborg",2005-12-21,58
"The Fabric of the Cosmos",Non-fiction,Nakskov,2005-09-22,70
"The Devil's Teardrop: A Novel of the Last Night of the Century","Crime Fiction",Frederiksberg,2005-08-07,85
"The Mists of Avalon","Speculative fiction",Skagen,2005-05-27,81
"Code of the Lifemaker","Science Fiction",Svendborg,2005-10-13,57
"Bed of Roses",Fiction,Nakskov,2005-06-29,58
"Dictation: A Quartet",Fiction,Kalundborg,2005-02-15,93
"Secret Servant: The Moneypenny Diaries","Spy fiction","Tønder",2005-04-03,71
"Origin in Death","Crime Fiction",Frederikshavn,2005-07-27,59
Carver,Thriller,Nyborg,2005-04-03,6
"The Space Merchants","Science Fiction",Aarhus,2005-11-06,65
Housekeeping,Fiction,Holstebro,2005-03-08,68
"Last of the Gaderene","Science Fiction","Sønderborg",2005-02-20,75
"The Domes of Pico","Science Fiction",Nakskov,2005-08-09,25
"Malone Dies",Fiction,Aalborg,2005-11-23,59
"Leven Thumps and the Eyes of The Want","Speculative fiction",Skagen,2005-03-25,40
"Brother Odd","Speculative fiction",Gentofte,2005-04-30,97
"Staying Fat For Sarah Byrnes","Children's literature",Fredericia,2005-10-22,9
"The White Lioness","Crime Fiction","Hjørring",2005-11-30,95
"Harimau! Harimau!",Novel,Aabenraa,2005-10-28,89
"Dragon Death","Speculative fiction",Maribo,2005-06-10,67
"A Civil Contract","Historical fiction",Frederiksberg,2005-10-21,36
"The Ghosts","Science Fiction",Nakskov,2005-09-21,70
"The Candle in the Wind","Speculative fiction",Odense,2005-01-10,36
"The Wide Window","Gothic fiction",Randers,2005-02-26,34
"The Sterkarm Handshake",Fantasy,"Hjørring",2005-08-19,30
"Tiger Moon",Fantasy,Nyborg,2005-07-06,33
"The Wright 3",Mystery,"Køge",2005-02-25,93
"The Last Space Viking","Science Fiction",Haderslev,2005-05-04,71
"Bata, Bata… Pa’no Ka Ginawa?",Fiction,Aabenraa,2005-02-28,15
"Death Sentence",Thriller,Fredericia,2005-08-02,94
"Uncle Fred in the Springtime","Comic novel","Holbæk",2005-08-31,85
Physik,"Children's literature",Skagen,2005-03-15,27
"Death in Paradise","Crime Fiction",Kolding,2005-11-19,83
"Red Moon and Black Mountain","Speculative fiction",Silkeborg,2005-12-06,56
"Revolution 2020",Fiction,"Hillerød",2005-02-27,36
Crusader,"Science Fiction",Skive,2005-02-07,47
Nemesis,"Crime Fiction","Helsingør",2005-07-06,34
Berenice,Horror,"Nørresundby",2005-03-26,63
"Vital Signs",Thriller,"Sorø",2005-11-07,67
"The Last Camel Died at Noon",Mystery,Vordingborg,2005-12-20,14
"The Eight Doctors","Speculative fiction",Aarhus,2005-10-07,75
"Trading Faces","Young adult literature","Hillerød",2005-06-07,92
"Gaia's Toys","Speculative fiction",Svendborg,2005-08-25,42
"A Tiger for Malgudi",Fiction,"Tønder",2005-07-13,19
Freeglader,"Speculative fiction",Herning,2005-08-20,42
Image,Fantasy,Kolding,2005-05-31,95
"Jonathan Livingston Seagull",Self-help,Odense,2005-06-23,21
"I Heard the Owl Call My Name","Children's literature","Nykøbing Falster",2005-02-14,85
Nomad,"Science Fiction",Viborg,2005-03-11,10
"Witch Hunt",Thriller,Esbjerg,2005-06-04,54
"Storm Front",Fantasy,Skive,2005-09-04,44
Glory,Fiction,"Tønder",2005-05-22,27
Airborn,"Science Fiction",Vejle,2005-05-21,63
Inferno,"Science Fiction",Haderslev,2005-11-23,68
